	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
168	24.6811	27.0514	26.5211	27.1847	28.1505	29.8214	30.4597	30.9423	31.7632	32.7886	33.5808	34.4121	35.4597	36.7776	37.5923	38.0232	39.6257	40.0322	41.1555	41.7718	43.2977	44.9812	45.8607	46.169	48.0039	49.8366	51.1287	52.6643	54.0881	54.8864	56.4285	57.6112	60.3076	60.7517	62.886	65.1492	65.7949	66.546	69.8875	70.2081	72.2982	73.4747	74.5925	76.4554	77.1801	79.006	80.5495	81.9322	83.4978	85.0849	85.4523	87.293	88.7823	88.4976	90.9296	91.7018	91.984	93.2839	94.3749	95.7132	96.1038	97.2514	97.645	98.881	99.2764	100.114	100.415	101.184	101.613	102.019	101.879	102.887	103.268	103.874	103.792	103.874	104.98	104.796	105.129	105.745	105.355	105.511	106.048	105.826	106.423	106.348	106.332	106.576	106.849	106.607	106.633	106.96	106.732	106.948	106.929	106.94	107.077	107.169	106.953	107.082	106.97
175	28.1978	29.1464	30.3667	31.3816	31.1547	32.1571	33.7601	34.9857	34.4879	35.4018	36.8592	37.7933	37.8983	39.408	39.7461	40.9478	42.1891	42.8307	44.1371	45.3892	45.8133	47.3055	47.8935	48.5813	50.7623	51.1184	52.4869	54.0721	55.6808	56.7865	58.7165	58.9715	61.6459	63.6596	63.0907	65.616	66.6639	69.6748	70.8972	72.0297	73.0246	73.9818	75.7631	77.6858	78.8338	80.2083	81.9518	83.0112	84.707	85.0968	86.711	87.8143	89.3584	90.5074	90.9462	92.2171	92.4596	94.3276	95.093	95.8587	96.5703	97.2389	98.3548	98.8966	99.1331	100.138	101.267	100.887	101.806	102.33	102.868	103.312	103.288	104.218	104.265	104.41	104.809	104.954	105.209	105.408	105.369	106.106	106.066	105.979	106.487	106.766	106.52	106.42	106.523	106.771	106.924	106.998	106.934	107.083	107.049	106.868	107.116	107.065	106.921	106.827	106.879
182	30.7001	33.7538	33.2845	34.2082	35.3728	35.7204	37.1182	37.1795	37.3509	39.4306	39.6942	40.6112	41.1239	42.346	42.4935	44.3302	44.1554	45.9311	46.7952	46.5003	49.2469	48.9461	50.5555	52.1207	53.3667	53.556	55.6656	55.7607	58.1588	59.8961	61.4373	61.696	63.2076	63.9921	66.4733	67.0294	69.3743	70.4103	72.8454	72.9384	74.4902	76.6399	77.6809	79.3708	80.427	81.9935	82.4335	83.7212	84.9987	86.2743	87.1128	89.7019	88.8525	90.2371	92.478	92.6936	93.6138	94.5769	95.5403	96.1587	97.362	98.105	98.947	99.2719	99.8038	100.445	100.803	101.695	102.334	102.659	102.748	103.421	103.927	104.233	104.426	104.49	105.028	105.126	105.511	105.802	106.097	105.904	106.258	106.262	106.53	106.341	106.58	106.69	106.665	106.712	106.632	107.003	107.122	107.083	107.101	106.855	107.023	107.004	106.973	107.001	107.248
189	35.874	36.0439	36.1626	38.5299	38.4465	38.7774	39.6485	41.1322	40.5771	42.223	42.9802	43.1352	44.5981	44.979	46.3392	46.5335	47.6581	48.3106	49.2583	50.8105	51.8846	52.4526	54.0995	54.6135	55.4829	56.3404	59.6064	59.0177	60.3955	61.6019	62.2895	64.6044	66.4367	67.4199	68.1667	70.0246	70.4046	71.6461	72.4839	74.9145	76.9307	78.005	78.6821	81.094	81.6364	82.3852	83.4418	85.5014	86.1969	87.3025	87.9603	89.7577	90.2741	91.8052	93.1426	93.0854	93.9167	95.5473	96.1751	96.9613	97.2288	98.3109	98.7656	100.062	100.394	101.345	101.009	102.31	101.863	102.361	103.344	103.544	104.131	104.787	104.444	104.668	104.617	105.586	105.866	105.902	105.952	105.934	105.977	106.631	106.263	106.52	106.454	106.777	106.562	106.61	106.716	106.888	106.864	107.103	107.173	107.025	107.067	107.218	107.066	107.069	106.961
196	38.706	40.1666	40.055	41.5641	41.2004	42.9218	42.948	44.4759	44.9496	45.7413	46.3745	45.7132	47.2948	49.1645	48.677	49.1051	51.1596	51.239	53.2068	53.3119	54.4606	55.4605	56.1765	57.3831	57.9963	59.0651	59.3599	61.3457	62.6645	63.9389	65.0647	66.2315	66.8799	69.2494	70.4903	70.7832	73.0363	73.4584	74.74	75.7593	78.1705	78.7999	79.6815	81.6532	82.7291	84.5978	85.3951	86.3935	86.9529	88.1601	89.3668	89.9672	91.8583	92.2752	93.1563	94.1475	94.6267	95.8732	96.6198	97.0685	98.304	98.8872	99.3582	100.186	100.828	101.364	101.07	102.234	102.65	103.201	102.804	104.16	103.36	104.541	104.963	105.208	104.949	105.374	105.319	105.369	106.06	105.994	106.388	106.596	106.587	106.688	106.881	106.877	107.004	106.962	107.117	106.972	107.049	106.9	106.991	107.155	107.015	106.976	107.205	107.248	107.071
203	42.874	43.611	44.2446	45.0014	45.5827	45.7938	47.6148	46.8671	48.5181	48.2586	49.9413	49.9878	51.1739	52.1208	51.5789	53.0821	54.1125	54.8304	55.6008	56.5216	57.4474	57.8986	58.8967	60.7632	60.6463	62.3663	62.3833	63.29	64.7714	65.2718	67.0246	68.6327	69.7328	70.6016	71.4099	72.7322	74.4006	75.4593	76.7436	78.4404	79.5795	80.1904	81.5095	81.8675	84.1333	85.1229	85.7533	87.0917	88.2412	88.5239	90.6986	91.8489	92.3541	92.7303	93.2131	94.5638	95.3249	96.9684	96.8948	97.7673	98.6939	98.847	99.7846	100.197	101.518	101.292	102.056	102.172	102.558	102.975	103.371	104.226	104.276	104.67	104.574	105.312	105.503	105.581	105.745	106.284	106.294	106.4	106.812	106.448	106.57	106.748	106.701	106.884	107.008	107.04	106.958	106.927	107.228	107.113	107.133	107.173	107.283	107.158	107.028	107.135	107.108
210	47.3555	47.3527	48.1359	48.3203	49.5071	49.6405	50.9987	51.3889	52.2954	52.4555	53.1996	53.6986	53.9357	54.6888	54.9913	55.6785	56.1212	56.9306	58.923	59.4814	60.1423	60.4257	61.9707	62.0985	63.3992	64.0894	65.415	66.4576	67.3316	67.5209	69.0213	69.6858	71.7597	71.9076	74.1502	74.6087	76.5784	77.5591	78.2853	80.1506	80.5234	81.2758	82.7934	84.2907	85.9913	86.7429	87.0396	88.305	89.8821	90.3305	91.1883	92.1345	92.8457	93.5535	94.6802	95.5011	97.1415	97.1267	97.6532	98.107	99.2997	98.9766	99.9548	101.276	101.669	102.336	102.507	102.865	103.142	103.504	104.085	104.367	104.299	105.166	105.067	105.334	105.221	105.704	105.653	106.219	106.532	106.411	106.386	106.641	106.598	107.002	107.015	106.931	106.888	106.868	107.076	106.9	107.21	106.989	107.021	107.081	107.073	107.219	107.101	107.04	107.178
217	49.7594	51.5191	51.3223	51.6455	52.7177	53.3188	53.9618	55.7532	55.3937	56.1679	57.0789	56.5786	57.1312	58.3752	58.9821	58.9724	59.8378	60.8799	60.8201	62.1689	63.113	63.09	64.9319	65.3003	65.9139	66.9487	67.9148	68.987	69.4364	70.8494	70.9562	72.774	73.6436	74.343	76.2707	77.1909	78.043	79.0647	79.8968	82.0063	82.4915	82.5823	83.5655	86.0516	86.9642	87.2262	88.6422	88.7678	90.3802	91.0077	91.7846	93.6065	93.7449	95.1529	95.7781	96.1798	97.1517	97.7034	98.3837	99.1991	99.5446	100.02	100.704	101.118	101.376	102.018	102.81	103.01	103.236	104.044	104.165	104.126	105.138	105.095	105.236	105.611	105.517	106.301	105.806	106.032	106.326	106.526	106.853	106.773	106.963	106.742	107.018	106.939	107.212	106.964	106.997	107.033	107.054	106.945	107.31	107.101	107.141	107.132	107.165	107.246	107.193
224	53.1677	54.8086	55.1355	56.1974	57.0872	56.366	58.4112	58.0695	57.9272	59.6435	59.3229	60.7332	61.8003	61.0903	61.2247	62.4014	62.4886	63.8443	65.5666	65.5384	65.6815	66.671	67.5593	67.3509	68.8505	69.7128	71.3052	71.0913	73.4211	73.5514	75.0704	74.9632	75.4482	77.5885	78.3484	79.4317	79.9791	80.8736	81.3418	82.9495	84.1787	84.5735	85.0376	86.748	88.111	88.7729	89.8983	90.5221	91.6397	92.9319	92.6283	94.1647	94.0893	95.5056	96.1521	97.0302	97.7723	97.9351	98.6519	99.1669	99.8972	100.818	100.547	101.921	102.291	102.753	102.74	103.621	103.97	103.725	104.556	104.651	105.19	105.136	105.573	105.835	105.627	106.209	106.247	106.595	106.555	106.396	106.748	107.034	107.102	107.019	106.852	106.971	107.323	107.151	107.193	106.974	107.348	107.193	107.248	107.256	107.338	107.154	107.257	107.05	107.019
231	57.6758	58.7514	60.1888	60.1505	60.1117	61.3224	61.2102	60.9847	61.8567	63.356	63.8261	64.0827	64.2674	64.828	65.0314	65.9595	66.3597	67.3776	67.6008	68.2194	68.8479	68.966	70.0513	70.9553	71.2063	72.5192	72.6464	74.1669	74.5698	75.9733	76.2171	77.8004	77.9173	79.1245	80.1619	80.7007	81.7061	82.3955	84.0792	84.356	84.7659	86.6493	87.5308	88.2104	88.6804	89.8883	91.0346	92.05	92.686	93.4307	94.3733	94.8633	96.5076	96.3363	97.0783	97.6039	98.1462	98.2028	99.779	100.423	101.04	101.01	101.521	102.009	102.825	103.283	103.445	103.719	104.175	104.341	104.749	104.987	105.052	105.148	105.934	105.818	105.901	105.884	106.223	106.317	106.44	106.851	106.552	106.524	106.979	106.951	106.918	107.158	107.041	107.071	107.242	107.074	107.39	107.3	107.395	107.551	107.323	107.406	107.133	107.2	107.08
238	61.9148	61.9888	62.1866	63.8465	63.2998	63.9098	64.7312	64.7623	65.5251	65.4983	67.0171	67.3664	67.8153	68.6313	68.978	68.275	69.2718	69.6393	70.2843	71.6306	72.115	72.8878	72.7409	73.2031	73.2851	74.8941	76.4971	76.5783	76.5822	77.8159	78.4517	78.7783	80.1906	81.2753	82.4572	82.9138	84.235	84.1115	86.0426	86.7994	87.3187	88.141	88.2283	89.5679	90.4013	92.1446	91.8293	92.8674	93.9775	94.8916	95.3003	95.8638	95.8002	96.6921	98.1162	98.8214	98.5724	99.9366	99.9009	100.297	101.244	101.803	101.903	102.531	103.247	103.143	103.391	104.229	104.219	104.522	105.214	105.236	105.651	105.584	105.817	106.048	106.607	106.268	106.312	106.58	106.556	106.73	106.833	106.726	106.563	107.15	107.195	107.287	107.205	106.877	107.28	107.493	107.33	107.315	107.472	107.284	107.157	107.302	107.177	107.251	107.314
245	66.2916	64.9256	65.992	65.4305	67.8479	67.8424	67.9224	68.2617	68.777	69.6386	70.5583	71.1811	71.2916	70.5097	71.6786	71.7814	72.3187	72.4486	73.9135	73.8425	75.074	75.7223	75.5675	76.4295	76.9062	77.8889	77.8602	78.2028	78.9962	80.4525	80.744	82.1344	82.8838	83.9283	84.5195	84.647	85.3996	86.4855	87.7514	88.4424	88.7283	90.1309	90.5422	91.0815	90.9476	91.9172	92.7123	94.01	94.8317	95.2848	95.9562	96.9726	98.2864	98.0673	98.0659	98.9676	99.9842	100.389	100.602	101.615	101.55	101.527	102.576	103.663	103.757	103.546	103.907	104.382	104.55	105.336	105.432	105.554	105.496	105.919	105.929	106.251	106.207	106.029	106.108	106.954	106.868	107.006	107.107	107.025	107.105	107.14	107.444	107.301	107.278	107.222	107.103	107.298	107.34	107.514	107.458	107.448	107.299	107.337	107.365	107.305	107.336
252	68.9869	70.4178	70.0925	70.7807	70.1077	70.2456	71.1523	72.2326	71.8985	71.474	73.6761	73.8228	73.1155	74.2093	75.086	75.4012	75.5322	75.4864	76.5408	77.3014	77.9232	77.7553	79.0857	78.9037	78.9015	80.6405	79.8108	81.2997	82.0493	83.4637	83.7229	83.408	84.3298	85.1327	86.3186	86.7496	87.6765	87.6096	89.2247	90.0955	89.8022	91.1367	91.6537	92.5294	93.0097	93.6362	95.1333	94.5837	95.5418	96.3293	96.6501	97.4305	97.9068	98.9451	99.8155	100.123	99.7873	101.001	101.621	101.772	102.129	102.666	102.601	103.307	104.02	104.734	104.507	105.006	104.819	105.478	105.06	105.602	105.536	106.105	106.16	106.225	106.659	106.725	106.894	106.79	107.265	107.009	107.278	107.239	107.19	107.255	107.295	107.366	107.341	107.38	107.291	107.381	107.477	107.373	107.389	107.455	107.582	107.315	107.404	107.18	107.074
259	72.6997	73.6829	73.1051	73.7878	74.4531	74.5692	75.2974	75.0505	76.6351	75.3685	75.841	76.6671	77.6955	77.5808	77.5663	78.0977	77.55	78.7614	78.7262	80.0557	80.0056	81.0031	81.0835	81.6056	81.8269	83.1362	83.5058	83.1369	84.007	84.9046	84.9519	85.6701	87.1345	87.2191	88.0999	89.3787	89.2056	89.898	90.6702	91.6795	91.0989	92.7819	93.1101	93.4239	93.9713	95.0621	96.141	96.9048	97.0108	97.7893	97.9472	98.3734	98.8845	99.3264	100.178	100.438	101.357	101.7	102.559	102.794	103.623	103.395	103.592	104.02	104.211	104.176	104.855	105.431	105.408	105.608	105.323	105.846	106.166	106.167	106.617	106.416	106.601	106.486	106.754	107.144	107.07	107.268	107.129	107.141	107.292	107.47	107.182	107.377	107.389	107.403	107.517	107.233	107.38	107.337	107.445	107.367	107.408	107.517	107.449	107.259	107.327
266	75.871	75.608	77.0847	76.7053	76.959	77.9278	77.905	77.7488	77.8742	78.5337	78.2497	79.1225	79.9411	79.2293	81.1214	80.5501	81.4471	80.6822	81.896	82.3096	82.9334	82.8887	83.8532	83.0575	84.3218	85.1225	84.7414	85.6008	86.4616	87.1029	87.8491	87.7901	89.1748	89.75	90.3677	89.7254	91.7775	92.1683	92.9104	92.7165	93.5678	93.8338	93.972	95.3056	95.5498	96.6829	97.0524	97.8233	98.1037	98.4089	99.5423	99.5129	99.3246	100.018	101.024	101.276	101.637	102.437	102.093	102.531	103.027	103.543	103.667	104.276	104.545	104.795	105.141	104.776	105.602	105.407	106.352	105.976	106.449	106.607	106.33	106.842	106.825	106.867	106.902	106.744	106.925	107.162	107.462	107.359	107.337	107.571	107.514	107.584	107.436	107.29	107.52	107.426	107.462	107.479	107.665	107.492	107.403	107.443	107.283	107.36	107.228
273	79.2481	79.2053	79.1729	79.8949	80.1484	79.7738	80.2644	80.7699	81.4534	80.9476	81.4495	81.8602	82.2649	82.9691	83.8132	83.3375	83.5975	83.9452	85.2916	84.9758	85.8227	86.2223	85.3672	86.7506	87.2194	87.8051	88.3125	88.1175	88.5695	89.0896	89.5515	89.8641	90.7825	90.7898	91.3601	92.8147	92.4028	93.2291	93.2281	94.053	95.326	95.3349	95.0443	96.3007	96.5052	97.802	98.2082	98.0693	98.9515	99.2084	99.9817	100.444	101.123	100.79	101.244	102.056	102.199	102.806	103.314	103.341	104.02	103.683	104.514	104.631	104.594	105.194	105.183	105.738	106.189	105.94	106.554	106.263	106.434	106.569	106.793	106.847	107.149	107.196	107.098	107.326	107.219	107.522	107.522	107.358	107.485	107.491	107.469	107.61	107.599	107.541	107.732	107.535	107.622	107.525	107.313	107.486	107.522	107.571	107.465	107.321	107.437
280	81.6507	82.6958	82.0436	81.9892	81.9897	83.6944	83.0908	84.8119	83.9116	83.7602	84.1274	84.8087	85.9898	85.2034	85.2514	85.8295	86.8705	86.8363	86.2386	87.4319	87.5277	88.256	87.4758	88.3285	89.194	89.3121	90.5386	90.2721	91.0895	91.313	91.0185	92.2021	92.7144	93.0679	93.2641	94.2319	94.3785	94.7759	95.6159	96.1999	95.9715	96.8224	96.7898	98.2345	97.8603	98.5787	99.0673	99.2277	99.8846	100.264	101.007	100.83	101.433	102.296	102.41	102.613	103.211	103.622	103.756	104.283	103.821	104.883	104.634	104.861	105.009	105.532	105.592	105.987	105.862	105.952	106.423	106.432	106.895	107.197	106.658	106.692	107.139	107.444	107.417	107.115	107.305	107.651	107.302	107.532	107.561	107.461	107.377	107.759	107.595	107.45	107.725	107.477	107.379	107.653	107.525	107.572	107.599	107.47	107.322	107.285	107.377
287	84.8882	85.4407	84.817	84.9905	85.8061	86.5531	85.8742	86.4928	86.9228	86.7507	86.4305	87.5722	87.3124	87.9226	87.7823	88.4462	88.0215	89.731	89.1833	89.884	89.6598	90.1923	90.5868	90.7362	90.8531	91.5569	91.9085	93.2225	92.1682	92.2337	93.5964	94.4681	93.3447	94.4325	94.5667	95.2858	95.7855	96.0296	95.7961	97.077	98.0425	98.4898	98.62	98.7621	99.0212	99.0786	99.8836	99.9268	100.713	100.962	101.524	102.02	102.231	102.876	102.614	103.262	103.741	103.922	103.788	105.235	104.893	105.221	105.06	105.313	105.663	105.875	106.15	106.387	106.052	106.369	106.832	106.807	106.903	106.935	107.301	107.238	107.343	107.165	107.321	107.264	107.239	107.58	107.339	107.565	107.561	107.594	107.424	107.55	107.473	107.517	107.485	107.598	107.639	107.696	107.515	107.485	107.665	107.471	107.558	107.42	107.244
294	87.2825	87.006	88.0277	88.0318	87.9765	87.9026	88.982	88.706	88.4987	90.187	89.0943	89.4503	90.0091	90.0582	90	90.2917	90.2643	90.7657	91.9807	91.5454	92.0189	91.8225	92.4063	92.7315	92.5286	93.1044	93.7393	94.1923	94.2967	94.7006	94.3449	94.8319	95.9809	95.6919	96.5377	96.5396	97.4448	97.4688	97.6847	98.7374	98.6108	98.5367	99.2971	99.5285	100.534	100.12	101.001	101.357	101.375	101.831	102.307	102.716	103.456	103.058	103.591	104.128	104.353	104.435	104.517	105.193	105.286	105.207	105.581	105.931	106.141	106.286	106.079	106.968	106.883	106.641	106.916	107.074	107.204	107.359	107.015	107.141	107.362	107.66	107.532	107.59	107.574	107.388	107.368	107.627	107.558	107.544	107.552	107.595	107.576	107.512	107.687	107.577	107.434	107.329	107.577	107.489	107.411	107.446	107.456	107.534	107.426
301	89.1749	89.2575	90.6155	89.6241	89.8264	90.1722	90.6199	91.2592	91.2984	90.8057	90.1287	91.3237	91.4732	92.4477	91.93	92.5699	92.7635	93.2491	93.5725	93.7206	93.6325	94.1295	93.9279	94.409	94.9609	94.5339	95.3473	96.1374	95.9464	96.4594	96.6096	96.0366	97.3758	97.2386	97.9633	98.4205	98.5118	98.6403	98.5809	99.4437	99.0391	100.107	100.569	100.579	101.375	101.864	101.816	101.754	101.691	102.668	102.926	103.326	103.318	103.846	103.719	104.335	104.297	105.099	105.307	105.43	105.506	106.17	106.174	106.134	106.56	106.445	106.499	106.881	106.62	106.799	106.957	107.042	107.21	107.533	107.35	107.322	107.366	107.741	107.588	107.648	108.023	107.358	107.663	107.68	107.587	107.623	107.649	107.722	107.671	107.483	107.446	107.685	107.596	107.518	107.428	107.598	107.541	107.462	107.481	107.47	107.42
308	91.5407	92.3722	91.4654	92.6065	92.6956	92.8938	93.0027	92.5552	93.9263	94.1856	93.7537	93.845	94.463	94.1678	93.8628	94.6695	94.546	94.9414	95.0808	94.8001	95.2117	95.5912	95.6976	96.1584	95.9084	96.1973	96.1794	96.8054	97.4391	97.4548	98.1805	97.6	98.8915	98.9519	98.974	98.9423	99.5463	99.5756	100.31	100.805	101.009	101.467	101.37	101.652	102.295	102.083	102.944	102.783	103.279	102.797	103.564	104.235	104.399	104.581	104.316	104.759	105.508	105.283	105.831	105.909	105.996	106.497	106.5	106.594	106.313	106.501	106.788	106.766	107.068	107.015	106.818	107.156	107.408	107.621	107.791	107.726	107.499	107.615	107.5	107.786	107.922	107.669	107.759	107.499	107.561	107.811	107.859	107.751	107.625	107.732	107.733	107.545	107.621	107.696	107.663	107.526	107.612	107.456	107.373	107.366	107.467
315	93.562	94.0549	94.7029	94.4799	94.348	94.5151	93.867	94.5766	95.4136	95.4131	94.7834	96.048	95.3115	95.2343	96.0391	96.3825	96.82	96.2952	97.1477	96.9719	97.2848	96.3451	97.9434	97.3727	97.8117	98.6517	98.135	97.7642	99.0055	99.4528	99.3027	99.0991	100.153	99.8788	100.686	100.577	100.478	101.164	101.414	101.44	101.792	102.316	102.243	102.936	102.904	103.408	103.71	103.401	103.673	103.945	104.593	104.281	104.532	105.393	105.038	105.498	105.704	105.158	106.11	105.919	106.161	106.34	106.334	106.624	106.492	107.151	107.15	107.423	107.347	107.514	107.516	107.4	107.627	107.648	107.697	107.659	107.447	107.801	107.906	107.514	107.879	107.756	107.857	107.819	107.687	107.742	107.887	107.6	107.728	107.645	107.601	107.681	107.852	107.525	107.5	107.651	107.563	107.415	107.56	107.226	107.418
322	96.3223	95.2927	95.9844	96.9504	96.1618	96.1058	96.5317	96.2592	97.0465	96.534	96.521	96.9697	97.1748	97.2918	97.3471	97.3399	97.5706	99.2543	98.175	97.8356	98.4631	99.218	99.1932	98.5575	99.1163	98.8107	99.6319	99.5337	99.9094	99.9594	100.756	101.093	100.346	100.796	100.875	101.377	101.697	102.012	102.787	102.944	102.515	103.104	103.002	103.929	103.586	103.853	104.084	104.135	104.118	104.927	105.101	105.153	105.268	105.409	105.932	106.054	105.619	106.012	106.325	106.524	106.876	106.671	106.953	106.739	106.976	107.252	107.097	107.134	107.284	107.672	107.396	107.455	107.865	107.696	107.598	107.527	107.749	107.741	107.762	107.717	107.765	107.768	107.667	107.754	107.624	107.845	107.654	107.693	107.915	107.692	107.663	107.786	107.56	107.516	107.577	107.669	107.588	107.239	107.456	107.554	107.349
329	97.1606	97.8451	97.6657	97.8284	97.3414	98.6399	98.4504	97.9911	98.9321	98.0138	98.6726	98.8798	98.3231	98.8599	98.7395	99.5065	99.3016	98.6502	99.4473	99.4358	99.7265	99.7793	99.8367	100.428	100.641	100.936	100.509	100.868	101.404	101.448	101.465	101.058	101.714	101.69	102.08	102.456	102.364	102.366	103.08	103.129	102.589	103.971	103.237	104.048	104.503	104.511	104.88	104.687	105.327	105.117	105.366	105.629	105.496	105.951	105.744	106.173	106.314	106.587	106.373	106.716	106.942	107.252	106.712	106.832	106.839	107.346	107.368	107.421	107.759	107.508	107.734	107.363	107.557	107.907	107.908	107.642	107.813	107.824	107.768	107.465	107.821	107.887	107.785	107.74	107.945	107.654	107.552	107.685	107.746	107.811	107.588	107.591	107.803	107.715	107.709	107.568	107.59	107.53	107.423	107.407	107.489
336	98.763	99.3266	98.9674	98.9989	99.4088	99.3524	99.2536	99.002	99.4922	99.885	99.7859	99.2185	99.9944	100.016	100.284	100.312	100.608	100.68	101.129	101.14	100.547	101.193	101.603	100.91	101.515	101.389	102.099	101.658	101.657	102.575	102.268	102.919	102.573	102.916	102.775	102.903	102.811	103.133	103.51	103.728	103.894	104.707	104.867	104.843	105.164	105.196	105.165	105.511	105.425	105.644	106.025	106.17	105.562	106.346	106.404	106.322	106.717	106.684	106.748	106.824	107.13	107.411	107.131	107.603	107.604	107.603	107.486	107.701	107.488	107.549	107.846	108.002	107.779	107.818	107.679	108.029	107.852	107.94	107.957	107.863	107.899	107.707	107.911	107.821	107.867	107.956	107.903	107.745	107.827	107.569	107.702	107.673	107.591	107.672	107.566	107.531	107.604	107.478	107.458	107.29	107.388
